EGI_ch,1005_ch
E1,AFF10h
E2,AFF8h
E3,AFF4
E4,F2
E5,FFC2h
E6,FCz
E7,FCC1h
E8,AFp8
E9,AFp4
E10,AF2
E11,AFFz
E12,FFC1h
E13,FC1
E14,Fp2h
E15,AFpz
E16,AFz
E17,Fpz
E18,AF1
E19,F1
E20,FFC3h
E21,Fp1h
E22,AFp3
E23,AFF3
E24,F3
E25,AFp7
E26,AFF7h
E27,F5h
E28,FFC3
E29,FCC3h
E30,C1
E31,CCP1h
E32,AFF9h
E33,FFT7h
E34,FC5
E35,FCC5h
E36,C3
E37,CCP1
E38,FFT9h
E39,FTT7
E40,C5
E41,CCP5h
E42,CP3
E43,FT9
E44,FTT9h
E45,TTP7
E46,CP5
E47,CP5h
E48,FT9
E49,A1
E50,TPP7
E51,CPP5
E52,CPP5h
E53,CPP3h
E54,CP1h
E55,CPz
E56,M1
E57,TPP9h
E58,P7
E59,PPO5h
E60,P3h
E61,P1
E62,PPOz
E63,P9
E64,PPO9
E65,PO7
E66,PO3
E67,PPO1
E68,PO9
E69,POO9
E70,O1
E71,POO1
E72,POz
E73,I1
E74,I1h
E75,Oz
E76,POO2
E77,PPO2
E78,P2
E79,CP2h
E80,CCP2h
E81,Iz
E82,I2h
E83,O2
E84,PO4
E85,P4h
E86,CPP4h
E87,CCP2
E88,I2
E89,POO10
E90,PO8
E91,PPO6h
E92,CPP4
E93,CP4
E94,PO10
E95,PPO10
E96,PPO8
E97,CPP6
E98,CP6h
E99,P10
E100,TPP10h
E101,TPP8
E102,CP6
E103,CCP6h
E104,C4
E105,C2
E106,FCC2h
E107,M2
E108,TTP8
E109,C6
E110,FCC6h
E111,FCC4h
E112,FC2h
E113,A2
E114,FTT10h
E115,FTT8
E116,FC6
E117,FC4
E118,FFC4h
E119,FT10
E120,FT10
E121,FFT10h
E122,FFT8h
E123,F6h
E124,F4
E125,F10
E126,AF10
E127,AF9
E128,F9
